,picture,date,like,tag
0,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 26일,여러 명,"['#고쿠텐이라', '#대연동맛집', '#부경대맛집', '#경성대맛집', '#부산대연동맛집', '#텐동맛집']"
1,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 25일,여러 명,"['#고쿠텐이라', '#대연동맛집', '#부경대맛집', '#경성대맛집', '#부산대연동맛집', '#텐동맛집']"
2,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 25일,여러 명,"['#고쿠텐이라', '#대연동맛집', '#부경대맛집', '#경성대맛집', '#부산대연동맛집', '#텐동맛집']"
3,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 25일,좋아요 608개,"['#떵호_부산', '#떵호_꿀맛', '#쌍둥이돼지국밥', '#대연동맛집', '#부산맛집', '#남천동맛집', '#광안리맛집', '#부경대맛집']"
4,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 25일,여러 명,"['#고쿠텐이라', '#대연동맛집', '#부경대맛집', '#경성대맛집', '#부산대연동맛집', '#텐동맛집']"
5,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 22일,여러 명,"['#고쿠텐이라', '#대연동맛집', '#부경대맛집', '#경성대맛집', '#부산대연동맛집', '#텐동맛집']"
6,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 25일,좋아요 240개,"['#부산맛집', '#경성대맛집', '#고반식당대연점', '#대연동맛집', '#경성대', '#경성대술집', '#경성대학교', '#부경대', '#부경대맛집', '#부경대술집', '#고반식당', '#경성대밥집', '#경성대부경대역', '#경성대핫플', '#부경대핫플', '#경성대데이트', '#부경대데이트', '#대연동', '#대연동술집', '#대연동삼겹살', '#먹스타', '#부산대연점고반식당', '#부산맛집추천', '#대연동맛집추천', '#대연동고기집', '#대연동밥집', '#대연동회식장소', '#대연동핫플', '#부산고기집추천', '#부산맛집투어']"
7,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 23일,"좋아요 1,642개","['#부산술집', '#부산맛집', '#부산가볼만한곳', '#부산데이트', '#대연동맛집', '#대연동가볼만한곳', '#대연동술집', '#부산핫플', '#부산대연동맛집', '#대연동핫플']"
8,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 2일,여러 명,"['#고쿠텐이라', '#대연동맛집', '#부경대맛집', '#경성대맛집', '#부산대연동맛집', '#텐동맛집']"
10,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 26일,좋아요 2개,"['#공원칼국수', '#칼국수', '#만두', '#수육', '#국수', '#칼국수맛집', '#부산맛집', '#대연동맛집', '#남천동맛집', '#경대맛집', '#부경대맛집', '#국수맛집', '#술집추천', '#부산술집', '#부산핫플']"
11,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 26일,여러 명,"['#고쿠텐이라', '#대연동맛집', '#부경대맛집', '#경성대맛집', '#부산대연동맛집', '#텐동맛집']"
12,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-15/283853019_580825406593867_2330983498701757898_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=G1CFIo8XWb0AX9yZTO2&edm=AABBvjUBAAAA&ccb=7-5&ig_cache_key=Mjg0NjIzMzM1MzY2NDE3MzYwMQ%3D%3D.2-ccb7-5&oh=00_AT-1vmNCWqunpq5BMWd5KS8FwjfxesVnRyDIi2UicjeiBA&oe=62966B7A&_nc_sid=83d603,2022년 5월 26일,좋아요 23개,"['#산딸기', '#김해산딸기', '#무공해산딸기', '#오륙도페이가맹점', '#부산과일선물', '#대연동과일선물', '#부산과일가게', '#대연동맛집', '#못골시장과일', '#대연동과일가게', '#대연동사과하나', '#사과하나', '#맛있는과일', '#제철과일', '#과일선물', '#배달가능']"
